,College,F24 Enrollment Count,F24Retention Count,F24Success Count,F24Retention Rate,F24Success Rate,S24Enrollment Count,S24Retention Count,S24Success Count,S24Retention Rate,S24Success Rate,College Name
7,Accounting-050200,52,47,34,90.38%,65.38%,82,73,49,89.02%,59.76%,Gavilan Total
8,"Business and Commerce, General-050100",111,100,83,90.09%,74.77%,140,127,110,90.71%,78.57%,Gavilan Total
9,Medical Office Technology-051420,24,21,17,87.50%,70.83%,32,31,31,96.88%,96.88%,Gavilan Total
10,Office Technology/Office Computer Applications-051400,65,62,59,95.38%,90.77%,75,62,55,82.67%,73.33%,Gavilan Total
11,Real Estate-051100,51,42,36,82.35%,70.59%,37,34,29,91.89%,78.38%,Gavilan Total
12,Non Distance Education Methods Total,391,364,297,93.09%,75.96%,341,307,240,90.03%,70.38%,Gavilan Total
13,Accounting-050200,159,146,113,91.82%,71.07%,119,105,84,88.24%,70.59%,Gavilan Total
14,"Business and Commerce, General-050100",164,153,131,93.29%,79.88%,162,147,110,90.74%,67.90%,Gavilan Total
15,Medical Office Technology-051420,29,28,20,96.55%,68.97%,19,18,15,94.74%,78.95%,Gavilan Total
16,Office Technology/Office Computer Applications-051400,39,37,33,94.87%,84.62%,41,37,31,90.24%,75.61%,Gavilan Total
17,Glendale Total,"4,010","3,748","3,384",93.47%,84.39%,"3,614","3,349","2,994",92.67%,82.84%,Glendale Total
18,Non Distance Education Methods Total,436,405,334,92.89%,76.61%,349,319,282,91.40%,80.80%,Glendale Total
19,Accounting-050200,33,31,27,93.94%,81.82%,32,30,23,93.75%,71.88%,Glendale Total
20,"Business and Commerce, General-050100",221,205,171,92.76%,77.38%,218,205,191,94.04%,87.61%,Glendale Total
21,Management Development and Supervision-050630,31,29,27,93.55%,87.10%,43,35,33,81.40%,76.74%,Glendale Total
22,Marketing and Distribution-050900,24,23,19,95.83%,79.17%,0,0,0,0,0,Glendale Total
23,Medical Office Technology-051420,29,27,22,93.10%,75.86%,0,0,0,0,0,Glendale Total
24,Office Technology/Office Computer Applications-051400,10,10,10,100.00%,100.00%,2,2,2,100.00%,100.00%,Glendale Total
25,Real Estate-051100,88,80,58,90.91%,65.91%,54,47,33,87.04%,61.11%,Glendale Total
26,Simultaneous Interaction (Internet Based) Total,"3,574","3,343","3,050",93.54%,85.34%,"3,265","3,030","2,712",92.80%,83.06%,Glendale Total
27,Accounting-050200,729,687,641,94.24%,87.93%,652,583,532,89.42%,81.60%,Glendale Total
28,Advertising-050910,25,25,21,100.00%,84.00%,25,25,23,100.00%,92.00%,Glendale Total
29,Banking and Finance-050400,163,143,117,87.73%,71.78%,113,107,104,94.69%,92.04%,Glendale Total
30,"Business and Commerce, General-050100",693,646,585,93.22%,84.42%,699,625,536,89.41%,76.68%,Glendale Total
31,Customer Service-051800,28,25,25,89.29%,89.29%,26,23,20,88.46%,76.92%,Glendale Total
32,Escrow-051110,79,77,71,97.47%,89.87%,70,64,58,91.43%,82.86%,Glendale Total
33,Insurance-051200,309,288,247,93.20%,79.94%,232,221,199,95.26%,85.78%,Glendale Total
34,International Business and Trade-050800,49,27,24,55.10%,48.98%,0,0,0,0,0,Glendale Total
35,Management Development and Supervision-050630,131,123,103,93.89%,78.63%,60,50,50,83.33%,83.33%,Glendale Total
36,Marketing and Distribution-050900,33,33,25,100.00%,75.76%,75,71,64,94.67%,85.33%,Glendale Total
37,Medical Office Technology-051420,243,231,221,95.06%,90.95%,254,249,237,98.03%,93.31%,Glendale Total
38,Office Technology/Office Computer Applications-051400,126,110,101,87.30%,80.16%,145,137,112,94.48%,77.24%,Glendale Total
39,Real Estate-051100,787,771,726,97.97%,92.25%,778,750,667,96.40%,85.73%,Glendale Total
40,Small Business and Entrepreneurship-050640,84,66,56,78.57%,66.67%,80,71,63,88.75%,78.75%,Glendale Total
41,Tax Studies-050210,95,91,87,95.79%,91.58%,56,54,47,96.43%,83.93%,Glendale Total
42,Golden West Total,"1,352","1,223","1,096",90.46%,81.07%,"1,481","1,312","1,157",88.59%,78.12%,Golden West Total
43,Delayed Interaction (Internet Based) Total,"1,021",930,829,91.09%,81.19%,"1,211","1,069",945,88.27%,78.03%,Golden West Total
44,Accounting-050200,480,431,392,89.79%,81.67%,485,433,394,89.28%,81.24%,Golden West Total
45,Banking and Finance-050400,0,0,0,0,0,24,21,20,87.50%,83.33%,Golden West Total
46,Business Administration-050500,118,114,106,96.61%,89.83%,134,132,125,98.51%,93.28%,Golden West Total
47,"Business and Commerce, General-050100",206,189,168,91.75%,81.55%,232,190,162,81.90%,69.83%,Golden West Total
48,Business Management-050600,36,33,31,91.67%,86.11%,45,37,32,82.22%,71.11%,Golden West Total
49,E-Commerce (Business emphasis)-050970,24,21,13,87.50%,54.17%,0,0,0,0,0,Golden West Total
0,Management Development and Supervision-050630,75,69,62,92.00%,82.67%,80,73,64,91.25%,80.00%,Golden West Total
1,Marketing and Distribution-050900,0,0,0,0,0,26,26,22,100.00%,84.62%,Golden West Total
2,Retail Store Operations and Management-050650,34,31,27,91.18%,79.41%,24,24,20,100.00%,83.33%,Golden West Total
3,Small Business and Entrepreneurship-050640,21,21,16,100.00%,76.19%,105,83,70,79.05%,66.67%,Golden West Total
4,Tax Studies-050210,27,21,14,77.78%,51.85%,56,50,36,89.29%,64.29%,Golden West Total
5,Non Distance Education Methods Total,312,276,253,88.46%,81.09%,246,222,195,90.24%,79.27%,Golden West Total
6,Accounting-050200,98,86,75,87.76%,76.53%,101,87,80,86.14%,79.21%,Golden West Total
7,Business Administration-050500,43,41,38,95.35%,88.37%,45,43,37,95.56%,82.22%,Golden West Total
8,"Business and Commerce, General-050100",101,87,81,86.14%,80.20%,73,65,52,89.04%,71.23%,Golden West Total
9,Business Management-050600,18,15,13,83.33%,72.22%,0,0,0,0,0,Golden West Total
10,Management Development and Supervision-050630,21,21,21,100.00%,100.00%,27,27,26,100.00%,96.30%,Golden West Total
11,Marketing and Distribution-050900,12,11,11,91.67%,91.67%,0,0,0,0,0,Golden West Total
12,Small Business and Entrepreneurship-050640,19,15,14,78.95%,73.68%,0,0,0,0,0,Golden West Total
13,Simultaneous Interaction (Internet Based) Total,19,17,14,89.47%,73.68%,24,21,17,87.50%,70.83%,Golden West Total
14,"Business and Commerce, General-050100",19,17,14,89.47%,73.68%,24,21,17,87.50%,70.83%,Golden West Total
15,Grossmont Total,"2,371","2,029","1,789",85.58%,75.45%,"2,270","1,923","1,633",84.71%,71.94%,Grossmont Total
16,Delayed Interaction (Internet Based) Total,"1,790","1,534","1,354",85.70%,75.64%,"1,836","1,564","1,342",85.19%,73.09%,Grossmont Total
17,Accounting-050200,340,290,250,85.29%,73.53%,344,271,221,78.78%,64.24%,Grossmont Total
18,"Business and Commerce, General-050100",481,405,345,84.20%,71.73%,454,377,318,83.04%,70.04%,Grossmont Total
19,Business Management-050600,69,61,52,88.41%,75.36%,78,67,49,85.90%,62.82%,Grossmont Total
20,International Business and Trade-050800,5,5,2,100.00%,40.00%,9,5,3,55.56%,33.33%,Grossmont Total
21,Logistics and Materials Transportation-051000,0,0,0,0,0,7,6,1,85.71%,14.29%,Grossmont Total
22,Marketing and Distribution-050900,93,66,54,70.97%,58.06%,79,66,44,83.54%,55.70%,Grossmont Total
23,Medical Office Technology-051420,276,240,225,86.96%,81.52%,243,219,213,90.12%,87.65%,Grossmont Total
24,Office Technology/Office Computer Applications-051400,526,467,426,88.78%,80.99%,622,553,493,88.91%,79.26%,Grossmont Total
25,Non Distance Education Methods Total,581,495,435,85.20%,74.87%,434,359,291,82.72%,67.05%,Grossmont Total
26,Accounting-050200,218,168,139,77.06%,63.76%,172,135,96,78.49%,55.81%,Grossmont Total
27,"Business and Commerce, General-050100",147,130,113,88.44%,76.87%,156,132,116,84.62%,74.36%,Grossmont Total
28,Business Management-050600,30,28,20,93.33%,66.67%,0,0,0,0,0,Grossmont Total
29,International Business and Trade-050800,7,7,6,100.00%,85.71%,10,10,10,100.00%,100.00%,Grossmont Total
30,Office Technology/Office Computer Applications-051400,179,162,157,90.50%,87.71%,96,82,69,85.42%,71.88%,Grossmont Total
31,Hartnell Total,904,794,637,87.83%,70.46%,858,745,626,86.83%,72.96%,Hartnell Total
32,Delayed Interaction (Internet Based) Total,412,344,266,83.50%,64.56%,389,311,246,79.95%,63.24%,Hartnell Total
33,Accounting-050200,125,97,77,77.60%,61.60%,166,115,87,69.28%,52.41%,Hartnell Total
34,"Business and Commerce, General-050100",142,114,90,80.28%,63.38%,98,83,64,84.69%,65.31%,Hartnell Total
35,Medical Office Technology-051420,110,103,71,93.64%,64.55%,93,85,69,91.40%,74.19%,Hartnell Total
36,Office Technology/Office Computer Applications-051400,35,30,28,85.71%,80.00%,32,28,26,87.50%,81.25%,Hartnell Total
37,Non Distance Education Methods Total,492,450,371,91.46%,75.41%,469,434,380,92.54%,81.02%,Hartnell Total
38,Accounting-050200,127,123,110,96.85%,86.61%,121,111,100,91.74%,82.64%,Hartnell Total
39,"Business and Commerce, General-050100",166,159,142,95.78%,85.54%,194,169,153,87.11%,78.87%,Hartnell Total
40,Business Management-050600,11,9,8,81.82%,72.73%,0,0,0,0,0,Hartnell Total
41,Office Technology/Office Computer Applications-051400,188,159,111,84.57%,59.04%,154,154,127,100.00%,82.47%,Hartnell Total
42,Imperial Total,794,737,620,92.82%,78.09%,756,679,556,89.81%,73.54%,Imperial Total
43,Delayed Interaction (Internet Based) Total,224,206,168,91.96%,75.00%,294,259,208,88.10%,70.75%,Imperial Total
44,Accounting-050200,60,51,30,85.00%,50.00%,128,113,86,88.28%,67.19%,Imperial Total
45,Business Administration-050500,30,30,30,100.00%,100.00%,0,0,0,0,0,Imperial Total
46,"Business and Commerce, General-050100",90,87,79,96.67%,87.78%,87,79,73,90.80%,83.91%,Imperial Total
47,Office Technology/Office Computer Applications-051400,44,38,29,86.36%,65.91%,79,67,49,84.81%,62.03%,Imperial Total
48,Non Distance Education Methods Total,570,531,452,93.16%,79.30%,462,420,348,90.91%,75.32%,Imperial Total
49,Accounting-050200,205,191,163,93.17%,79.51%,123,111,101,90.24%,82.11%,Imperial Total
0,Banking and Finance-050400,0,0,0,0,0,12,9,9,75.00%,75.00%,Imperial Total
1,Business Administration-050500,120,112,90,93.33%,75.00%,131,120,94,91.60%,71.76%,Imperial Total
2,"Business and Commerce, General-050100",60,58,51,96.67%,85.00%,53,51,38,96.23%,71.70%,Imperial Total
3,Business Management-050600,67,67,64,100.00%,95.52%,0,0,0,0,0,Imperial Total
4,Management Development and Supervision-050630,0,0,0,0,0,17,17,17,100.00%,100.00%,Imperial Total
5,Marketing and Distribution-050900,0,0,0,0,0,29,27,27,93.10%,93.10%,Imperial Total
6,Office Technology/Office Computer Applications-051400,118,103,84,87.29%,71.19%,97,85,62,87.63%,63.92%,Imperial Total
7,Irvine Total,"2,885","2,607","2,214",90.36%,76.74%,"2,662","2,365","2,017",88.84%,75.77%,Irvine Total
8,Delayed Interaction (Internet Based) Total,"1,436","1,286","1,067",89.55%,74.30%,"1,376","1,204","1,008",87.50%,73.26%,Irvine Total
9,Accounting-050200,380,333,295,87.63%,77.63%,297,264,224,88.89%,75.42%,Irvine Total
10,Business Management-050600,468,447,406,95.51%,86.75%,487,448,406,91.99%,83.37%,Irvine Total
11,International Business and Trade-050800,38,35,31,92.11%,81.58%,0,0,0,0,0,Irvine Total
12,Logistics and Materials Transportation-051000,0,0,0,0,0,20,19,14,95.00%,70.00%,Irvine Total
13,Marketing and Distribution-050900,38,32,28,84.21%,73.68%,32,29,26,90.63%,81.25%,Irvine Total
14,Office Technology/Office Computer Applications-051400,38,34,21,89.47%,55.26%,37,27,23,72.97%,62.16%,Irvine Total
15,Real Estate-051100,308,260,200,84.42%,64.94%,326,276,207,84.66%,63.50%,Irvine Total
16,Small Business and Entrepreneurship-050640,136,116,67,85.29%,49.26%,146,116,87,79.45%,59.59%,Irvine Total
17,Tax Studies-050210,30,29,19,96.67%,63.33%,31,25,21,80.65%,67.74%,Irvine Total
18,Non Distance Education Methods Total,319,284,234,89.03%,73.35%,357,308,249,86.27%,69.75%,Irvine Total
19,Accounting-050200,255,220,172,86.27%,67.45%,319,270,215,84.64%,67.40%,Irvine Total
20,Business Management-050600,46,46,44,100.00%,95.65%,14,14,11,100.00%,78.57%,Irvine Total
21,Small Business and Entrepreneurship-050640,18,18,18,100.00%,100.00%,24,24,23,100.00%,95.83%,Irvine Total
22,Simultaneous Interaction (Internet Based) Total,"1,130","1,037",913,91.77%,80.80%,929,853,760,91.82%,81.81%,Irvine Total
23,Accounting-050200,473,402,342,84.99%,72.30%,284,229,187,80.63%,65.85%,Irvine Total
24,Business Management-050600,299,287,256,95.99%,85.62%,179,167,150,93.30%,83.80%,Irvine Total
25,International Business and Trade-050800,29,28,26,96.55%,89.66%,0,0,0,0,0,Irvine Total
26,Office Technology/Office Computer Applications-051400,14,10,6,71.43%,42.86%,15,14,11,93.33%,73.33%,Irvine Total
27,Small Business and Entrepreneurship-050640,218,215,189,98.62%,86.70%,380,375,347,98.68%,91.32%,Irvine Total
28,Tax Studies-050210,97,95,94,97.94%,96.91%,71,68,65,95.77%,91.55%,Irvine Total
29,LA City Total,"2,484","2,261","1,929",91.02%,77.66%,"2,374","2,152","1,840",90.65%,77.51%,LA City Total
30,Delayed Interaction (Internet Based) Total,"2,275","2,083","1,824",91.56%,80.18%,"2,218","2,011","1,728",90.67%,77.91%,LA City Total
31,Accounting-050200,645,586,526,90.85%,81.55%,469,390,352,83.16%,75.05%,LA City Total
32,Banking and Finance-050400,119,112,72,94.12%,60.50%,133,121,96,90.98%,72.18%,LA City Total
33,Business Administration-050500,557,518,458,93.00%,82.23%,495,463,401,93.54%,81.01%,LA City Total
34,Business Management-050600,225,212,194,94.22%,86.22%,311,296,247,95.18%,79.42%,LA City Total
35,International Business and Trade-050800,71,66,64,92.96%,90.14%,65,64,60,98.46%,92.31%,LA City Total
36,Management Development and Supervision-050630,67,62,61,92.54%,91.04%,96,95,94,98.96%,97.92%,LA City Total
37,Marketing and Distribution-050900,198,180,149,90.91%,75.25%,171,166,146,97.08%,85.38%,LA City Total
38,Office Technology/Office Computer Applications-051400,124,91,76,73.39%,61.29%,164,126,87,76.83%,53.05%,LA City Total
39,Real Estate-051100,269,256,224,95.17%,83.27%,314,290,245,92.36%,78.03%,LA City Total
40,Non Distance Education Methods Total,175,146,79,83.43%,45.14%,103,90,73,87.38%,70.87%,LA City Total
41,Accounting-050200,30,27,16,90.00%,53.33%,17,16,11,94.12%,64.71%,LA City Total
42,Business Administration-050500,115,105,55,91.30%,47.83%,58,53,45,91.38%,77.59%,LA City Total
43,Office Technology/Office Computer Applications-051400,30,14,8,46.67%,26.67%,28,21,17,75.00%,60.71%,LA City Total
44,Simultaneous Interaction (Internet Based) Total,34,32,26,94.12%,76.47%,53,51,39,96.23%,73.58%,LA City Total
45,Business Administration-050500,34,32,26,94.12%,76.47%,53,51,39,96.23%,73.58%,LA City Total
46,LA Harbor Total,"1,009",920,685,91.18%,67.89%,843,737,534,87.43%,63.35%,LA Harbor Total
47,Delayed Interaction (Internet Based) Total,831,749,549,90.13%,66.06%,646,565,385,87.46%,59.60%,LA Harbor Total
48,Accounting-050200,170,135,120,79.41%,70.59%,131,92,70,70.23%,53.44%,LA Harbor Total
49,Banking and Finance-050400,74,62,54,83.78%,72.97%,56,52,31,92.86%,55.36%,LA Harbor Total
0,Business Administration-050500,313,293,204,93.61%,65.18%,249,231,158,92.77%,63.45%,LA Harbor Total
1,Business Management-050600,23,22,21,95.65%,91.30%,0,0,0,0,0,LA Harbor Total
2,International Business and Trade-050800,0,0,0,0,0,13,12,12,92.31%,92.31%,LA Harbor Total
3,Management Development and Supervision-050630,18,18,6,100.00%,33.33%,0,0,0,0,0,LA Harbor Total
4,Marketing and Distribution-050900,66,65,38,98.48%,57.58%,22,20,6,90.91%,27.27%,LA Harbor Total
5,Office Technology/Office Computer Applications-051400,23,15,12,65.22%,52.17%,66,51,29,77.27%,43.94%,LA Harbor Total
6,Real Estate-051100,144,139,94,96.53%,65.28%,83,82,61,98.80%,73.49%,LA Harbor Total
7,Small Business and Entrepreneurship-050640,0,0,0,0,0,26,25,18,96.15%,69.23%,LA Harbor Total
8,Non Distance Education Methods Total,178,171,136,96.07%,76.40%,197,172,149,87.31%,75.63%,LA Harbor Total
9,Accounting-050200,39,35,30,89.74%,76.92%,28,25,23,89.29%,82.14%,LA Harbor Total
10,Business Administration-050500,139,136,106,97.84%,76.26%,169,147,126,86.98%,74.56%,LA Harbor Total
11,LA Mission Total,"1,036",913,720,88.13%,69.50%,848,748,539,88.21%,63.56%,LA Mission Total
12,Delayed Interaction (Internet Based) Total,871,759,595,87.14%,68.31%,652,570,412,87.42%,63.19%,LA Mission Total
13,Accounting-050200,227,172,136,75.77%,59.91%,171,145,115,84.80%,67.25%,LA Mission Total
14,Banking and Finance-050400,32,29,22,90.63%,68.75%,33,31,20,93.94%,60.61%,LA Mission Total
15,Business Administration-050500,324,297,232,91.67%,71.60%,191,161,117,84.29%,61.26%,LA Mission Total
16,Business Management-050600,105,98,69,93.33%,65.71%,91,83,67,91.21%,73.63%,LA Mission Total
17,Marketing and Distribution-050900,37,33,28,89.19%,75.68%,26,26,19,100.00%,73.08%,LA Mission Total
18,Office Technology/Office Computer Applications-051400,96,87,78,90.63%,81.25%,89,77,44,86.52%,49.44%,LA Mission Total
19,Real Estate-051100,50,43,30,86.00%,60.00%,51,47,30,92.16%,58.82%,LA Mission Total
20,Non Distance Education Methods Total,165,154,125,93.33%,75.76%,196,178,127,90.82%,64.80%,LA Mission Total
21,Accounting-050200,39,38,27,97.44%,69.23%,76,67,61,88.16%,80.26%,LA Mission Total
22,Banking and Finance-050400,0,0,0,0,0,16,15,5,93.75%,31.25%,LA Mission Total
23,Business Administration-050500,90,87,74,96.67%,82.22%,59,55,31,93.22%,52.54%,LA Mission Total
24,Office Technology/Office Computer Applications-051400,36,29,24,80.56%,66.67%,34,30,20,88.24%,58.82%,LA Mission Total
25,Tax Studies-050210,0,0,0,0,0,11,11,10,100.00%,90.91%,LA Mission Total
26,LA Pierce Total,"2,682","2,404","2,086",89.63%,77.78%,"2,436","2,203","1,841",90.44%,75.57%,LA Pierce Total
27,Delayed Interaction (Internet Based) Total,"2,366","2,121","1,832",89.64%,77.43%,"2,175","1,968","1,642",90.48%,75.49%,LA Pierce Total
28,Accounting-050200,771,700,631,90.79%,81.84%,721,668,554,92.65%,76.84%,LA Pierce Total
29,Banking and Finance-050400,121,114,96,94.21%,79.34%,95,92,70,96.84%,73.68%,LA Pierce Total
30,Business Administration-050500,672,617,530,91.82%,78.87%,522,491,421,94.06%,80.65%,LA Pierce Total
31,Business Management-050600,71,67,64,94.37%,90.14%,64,53,47,82.81%,73.44%,LA Pierce Total
32,Insurance-051200,49,45,40,91.84%,81.63%,53,51,40,96.23%,75.47%,LA Pierce Total
33,International Business and Trade-050800,36,36,28,100.00%,77.78%,56,54,44,96.43%,78.57%,LA Pierce Total
34,Management Development and Supervision-050630,22,22,22,100.00%,100.00%,13,10,10,76.92%,76.92%,LA Pierce Total
35,Marketing and Distribution-050900,97,92,75,94.85%,77.32%,161,150,127,93.17%,78.88%,LA Pierce Total
36,Office Technology/Office Computer Applications-051400,496,405,328,81.65%,66.13%,468,384,318,82.05%,67.95%,LA Pierce Total
37,Real Estate-051100,31,23,18,74.19%,58.06%,22,15,11,68.18%,50.00%,LA Pierce Total
38,Non Distance Education Methods Total,316,283,254,89.56%,80.38%,257,231,195,89.88%,75.88%,LA Pierce Total
39,Accounting-050200,68,55,47,80.88%,69.12%,65,52,34,80.00%,52.31%,LA Pierce Total
40,Banking and Finance-050400,0,0,0,0,0,21,21,21,100.00%,100.00%,LA Pierce Total
41,Business Administration-050500,116,105,99,90.52%,85.34%,29,25,24,86.21%,82.76%,LA Pierce Total
42,Marketing and Distribution-050900,30,27,20,90.00%,66.67%,41,37,37,90.24%,90.24%,LA Pierce Total
43,Office Technology/Office Computer Applications-051400,102,96,88,94.12%,86.27%,101,96,79,95.05%,78.22%,LA Pierce Total
44,Simultaneous Interaction (Internet Based) Total,0,0,0,0,0,4,4,4,100.00%,100.00%,LA Pierce Total
45,Office Technology/Office Computer Applications-051400,0,0,0,0,0,4,4,4,100.00%,100.00%,LA Pierce Total
46,LA Swest Total,535,460,287,85.98%,53.64%,493,426,229,86.41%,46.45%,LA Swest Total
47,Delayed Interaction (Internet Based) Total,384,318,183,82.81%,47.66%,408,357,177,87.50%,43.38%,LA Swest Total
48,Accounting-050200,87,59,34,67.82%,39.08%,108,73,40,67.59%,37.04%,LA Swest Total
49,Business Administration-050500,157,142,86,90.45%,54.78%,86,84,48,97.67%,55.81%,LA Swest Total
0,Business Management-050600,71,62,34,87.32%,47.89%,88,86,37,97.73%,42.05%,LA Swest Total
1,Management Development and Supervision-050630,28,23,17,82.14%,60.71%,22,20,10,90.91%,45.45%,LA Swest Total
